epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3181.67,1.35335,0.85553,1.25864,0.73728,0.66667,0.73924,0.32822,2.05618,1.24495,1.76247,0.0011882,0.0011882,0.0011882
43,3255.15,1.3311,0.83051,1.25618,0.65711,0.64135,0.68862,0.2985,2.09656,1.32184,1.82522,0.0011684,0.0011684,0.0011684
44,3328.09,1.25236,0.77687,1.19748,0.67652,0.71308,0.73115,0.31089,2.09919,1.19993,1.86825,0.0011486,0.0011486,0.0011486
45,3402.18,1.33282,0.84945,1.26674,0.70928,0.67089,0.7324,0.31038,2.07086,1.17152,1.84426,0.0011288,0.0011288,0.0011288
46,3475.57,1.26506,0.7927,1.21756,0.69988,0.66245,0.69347,0.28994,2.0994,1.20115,1.8594,0.001109,0.001109,0.001109
47,3549.02,1.20752,0.75884,1.18233,0.69694,0.67089,0.70765,0.30688,2.02862,1.2427,1.81991,0.0010892,0.0010892,0.0010892
48,3622.55,1.21325,0.76043,1.17561,0.70465,0.66245,0.71664,0.31832,2.03264,1.26011,1.81613,0.0010694,0.0010694,0.0010694
49,3695.86,1.26748,0.7551,1.21538,0.72413,0.61603,0.70088,0.31391,2.03306,1.42032,1.81611,0.0010496,0.0010496,0.0010496
50,3768.82,1.2436,0.75839,1.20056,0.69538,0.5972,0.66631,0.29403,2.07651,1.49147,1.85225,0.0010298,0.0010298,0.0010298
51,3842.34,1.21299,0.76265,1.18296,0.65337,0.73418,0.70617,0.30396,2.05679,1.21656,1.8246,0.00101,0.00101,0.00101
52,3915.22,1.19035,0.7635,1.18428,0.69581,0.64667,0.6939,0.30931,2.13029,1.24774,1.89799,0.0009902,0.0009902,0.0009902
53,3989.01,1.16445,0.70946,1.16479,0.68458,0.65823,0.70149,0.31187,2.10987,1.30222,1.868,0.0009704,0.0009704,0.0009704
